DATE,TIME,実績(万kW)
2016/4/9,7:00,2465
2016/4/9,8:00,2629
2016/4/9,9:00,2757
2016/4/9,10:00,2796
2016/4/9,11:00,2813
2016/4/9,12:00,2768
2016/4/9,13:00,2842
2016/4/9,14:00,2829
2016/4/9,15:00,2806
2016/4/9,16:00,2807
2016/4/9,17:00,2868
2016/4/9,18:00,3043
2016/4/9,19:00,3010
2016/4/9,20:00,2918
2016/4/9,21:00,2755
2016/4/9,22:00,2658
2016/4/9,23:00,2508
2016/4/10,0:00,2340
2016/4/10,1:00,2241
2016/4/10,2:00,2224
2016/4/10,3:00,2226
2016/4/10,4:00,2224
2016/4/10,5:00,2210
2016/4/10,6:00,2208
2016/4/10,7:00,2292
2016/4/10,8:00,2401
2016/4/10,9:00,2533
2016/4/10,10:00,2593
2016/4/10,11:00,2600
2016/4/10,12:00,2652
2016/4/10,13:00,2636
2016/4/10,14:00,2617
2016/4/10,15:00,2621
2016/4/10,16:00,2664
2016/4/10,17:00,2797
2016/4/10,18:00,2995
2016/4/10,19:00,2974
2016/4/10,20:00,2880
2016/4/10,21:00,2741
2016/4/10,22:00,2584
2016/4/10,23:00,2418
2016/4/11,0:00,2231
2016/4/11,1:00,2144
2016/4/11,2:00,2142
2016/4/11,3:00,2165
2016/4/11,4:00,2208
2016/4/11,5:00,2317
2016/4/11,6:00,2538
2016/4/11,7:00,2814
2016/4/11,8:00,3107
2016/4/11,9:00,3329
2016/4/11,10:00,3356
2016/4/11,11:00,3323
2016/4/11,12:00,3183
2016/4/11,13:00,3303
2016/4/11,14:00,3322
2016/4/11,15:00,3328
2016/4/11,16:00,3391
2016/4/11,17:00,3463
2016/4/11,18:00,3623
2016/4/11,19:00,3545
2016/4/11,20:00,3427
2016/4/11,21:00,3294
2016/4/11,22:00,3211
2016/4/11,23:00,2990
2016/4/12,0:00,2694
2016/4/12,1:00,2558
2016/4/12,2:00,2519
2016/4/12,3:00,2518
2016/4/12,4:00,2559
2016/4/12,5:00,2678
2016/4/12,6:00,2940
2016/4/12,7:00,3085
2016/4/12,8:00,3276
2016/4/12,9:00,3436
2016/4/12,10:00,3461
2016/4/12,11:00,3436
2016/4/12,12:00,3247
2016/4/12,13:00,3370
2016/4/12,14:00,3371
2016/4/12,15:00,3354
2016/4/12,16:00,3401
2016/4/12,17:00,3450
2016/4/12,18:00,3606
2016/4/12,19:00,3532
2016/4/12,20:00,3393
2016/4/12,21:00,3231
2016/4/12,22:00,3097
2016/4/12,23:00,2852
2016/4/13,0:00,2598
2016/4/13,1:00,2463
2016/4/13,2:00,2432
2016/4/13,3:00,2431
2016/4/13,4:00,2448
2016/4/13,5:00,2552
2016/4/13,6:00,2799
2016/4/13,7:00,3053
2016/4/13,8:00,3329
2016/4/13,9:00,3566
2016/4/13,10:00,3577
2016/4/13,11:00,3541
2016/4/13,12:00,3339
2016/4/13,13:00,3463
2016/4/13,14:00,3375
2016/4/13,15:00,3337
2016/4/13,16:00,3388
2016/4/13,17:00,3432
2016/4/13,18:00,3507
2016/4/13,19:00,3391
2016/4/13,20:00,3246
2016/4/13,21:00,3111
2016/4/13,22:00,3016
2016/4/13,23:00,2800
2016/4/14,0:00,2566
2016/4/14,1:00,2441
2016/4/14,2:00,2422
2016/4/14,3:00,2427
2016/4/14,4:00,2444
2016/4/14,5:00,2530
2016/4/14,6:00,2724
2016/4/14,7:00,2969
2016/4/14,8:00,3268
2016/4/14,9:00,3483
2016/4/14,10:00,3543
2016/4/14,11:00,3531
2016/4/14,12:00,3346
2016/4/14,13:00,3463
2016/4/14,14:00,3418
2016/4/14,15:00,3340
2016/4/14,16:00,3368
2016/4/14,17:00,3366
2016/4/14,18:00,3452
2016/4/14,19:00,3362
2016/4/14,20:00,3208
2016/4/14,21:00,3055
2016/4/14,22:00,2941
2016/4/14,23:00,2751
2016/4/15,0:00,2554
2016/4/15,1:00,2430
2016/4/15,2:00,2396
2016/4/15,3:00,2409
2016/4/15,4:00,2438
2016/4/15,5:00,2508
2016/4/15,6:00,2682
2016/4/15,7:00,2854
2016/4/15,8:00,3043
2016/4/15,9:00,3238
2016/4/15,10:00,3264
2016/4/15,11:00,3258
2016/4/15,12:00,3069
2016/4/15,13:00,3212
2016/4/15,14:00,3214
2016/4/15,15:00,3220
2016/4/15,16:00,3267
2016/4/15,17:00,3252
2016/4/15,18:00,3356
2016/4/15,19:00,3293
2016/4/15,20:00,3163
2016/4/15,21:00,3041
2016/4/15,22:00,2947
2016/4/15,23:00,2742
2016/4/16,0:00,2516
2016/4/16,1:00,2406
2016/4/16,2:00,2369
2016/4/16,3:00,2360
2016/4/16,4:00,2364
2016/4/16,5:00,2370
2016/4/16,6:00,2442
2016/4/16,7:00,2559
2016/4/16,8:00,2746
2016/4/16,9:00,2859
2016/4/16,10:00,2902
2016/4/16,11:00,2887
2016/4/16,12:00,2822
2016/4/16,13:00,2847
2016/4/16,14:00,2831
2016/4/16,15:00,2810
2016/4/16,16:00,2836
2016/4/16,17:00,2888
2016/4/16,18:00,3071
2016/4/16,19:00,3059
2016/4/16,20:00,2962
2016/4/16,21:00,2805
2016/4/16,22:00,2687
2016/4/16,23:00,2529
2016/4/17,0:00,2334
2016/4/17,1:00,2234
2016/4/17,2:00,2212
2016/4/17,3:00,2195
2016/4/17,4:00,2182
2016/4/17,5:00,2174
2016/4/17,6:00,2200
2016/4/17,7:00,2318
2016/4/17,8:00,2518
2016/4/17,9:00,2680
2016/4/17,10:00,2734
2016/4/17,11:00,2769
2016/4/17,12:00,2772
2016/4/17,13:00,2757
2016/4/17,14:00,2693
2016/4/17,15:00,2720
2016/4/17,16:00,2768
2016/4/17,17:00,2866
2016/4/17,18:00,3066
2016/4/17,19:00,3068
2016/4/17,20:00,2950
2016/4/17,21:00,2785
2016/4/17,22:00,2614
2016/4/17,23:00,2444
2016/4/18,0:00,2273
2016/4/18,1:00,2178
2016/4/18,2:00,2171
2016/4/18,3:00,2191
2016/4/18,4:00,2230
2016/4/18,5:00,2295
2016/4/18,6:00,2483
2016/4/18,7:00,2668
2016/4/18,8:00,2933
2016/4/18,9:00,3154
2016/4/18,10:00,3236
2016/4/18,11:00,3278
2016/4/18,12:00,3135
2016/4/18,13:00,3346
2016/4/18,14:00,3336
2016/4/18,15:00,3293
2016/4/18,16:00,3331
2016/4/18,17:00,3348
2016/4/18,18:00,3402
